timestamp_ms,x,y
11791346,355,269
11791360,355,269
11791393,355,269
11791394,355,269
11791410,355,269
11791427,355,269
11791443.000000002,355,269
11791460.000000002,355,269
11791476,355,269
11791493,355,269
11791510,355,269
11791527,356,269
11791527,356,269
11791544,356,270
11791544,356,270
11791560,357,270
11791560,357,270
11791577.000000002,358,270
11791577.000000002,358,270
11791594.000000002,359,271
11791595,359,271
11791610,361,271
11791610,361,271
11791627,362,270
11791627,362,270
11791643,362,269
11791643,362,269
11791660,362,269
11791677,362,267
11791677,362,267
11791694,362,267
11791694,362,267
11791710.000000002,361,266
11791710.000000002,361,266
11791727,359,265
11791727,359,265
11791743,358,264
11791744,358,264
11791760,358,263
11791760,358,263
11791777,357,263
11791793,357,262
11791793,357,262
11791810,358,262
11791827.000000002,359,261
11791827.000000002,359,261
11791844.000000002,360,261
11791844.000000002,360,261
11791860,362,260
11791860,362,260
11791877,363,260
11791877,363,260
11791893,364,259
11791893,364,259
11791910,365,258
11791910,365,258
11791927,366,258
11791943.000000002,366,258
11791943.000000002,366,258
11791960.000000002,367,257
11791960.000000002,367,257
11791977,367,257
11791993,367,257
11792010,367,256
11792010,367,256
11792027,367,255
11792027,367,255
11792043,367,255
11792060,367,254
11792060,367,254
11792077.000000002,367,254
11792077.000000002,367,254
11792093,366,254
11792093,366,254
11792110,365,253
11792110,365,253
11792127,363,253
11792127,363,253
11792143,362,253
11792143,362,253
11792160,361,253
11792177,360,253
11792177,360,253
11792193.000000002,360,252
11792193.000000002,360,252
11792211.000000002,360,252
11792227,360,250
11792227,360,250
11792243,361,248
11792243,361,248
11792260,362,246
11792260,362,246
11792277,362,245
11792277,362,245
11792294,362,244
11792294,362,244
11792310,361,243
11792310,361,243
11792327.000000002,361,243
11792327.000000002,361,243
11792343,359,243
11792343,359,243
11792360,358,243
11792360,358,243
11792377,357,243
11792377,357,243
11792393,355,244
11792393,355,244
11792410,353,245
11792410,353,245
11792426,352,245
11792427,352,245
11792443.000000002,350,246
11792443.000000002,350,246
11792460.000000002,349,246
11792460.000000002,349,246
11792476,348,246
11792477,348,246
11792493,346,245
11792493,346,245
11792510,345,244
11792510,345,244
11792527,344,244
11792527,344,244
11792543,343,242
11792543,343,242
11792560,342,241
11792560,342,241
11792577.000000002,341,240
11792577.000000002,341,240
11792593,339,239
11792593,339,239
11792610,338,239
11792610,338,239
11792627,336,239
11792627,336,239
11792643,335,240
11792643,335,240
11792660,333,241
11792660,333,241
11792676,331,242
11792677,331,242
11792693.000000002,330,244
11792693.000000002,330,244
11792710.000000002,328,245
11792710.000000002,328,245
11792727,326,247
11792727,326,247
11792743,326,249
11792743,326,249
11792760,325,250
11792760,325,250
11792777,325,251
11792777,325,251
11792793,326,251
11792810,326,251
11792826,327,250
11792827.000000002,327,250
11792843,327,250
11792843,327,250
11792860,327,250
11792876,328,250
11792893,328,250
11792910,328,250
11792926,327,250
11792927,327,250
11792943.000000002,326,251
11792943.000000002,326,251
11792960.000000002,324,253
11792960.000000002,324,253
11792976,321,255
11792976,321,255
11792993,318,257
11792993,318,257
11793010,315,258
11793010,315,258
11793026,313,260
11793026,313,260
11793043,312,261
11793043,312,261
11793060,311,262
11793060,311,262
11793076,311,262
11793076,311,262
11793093,311,263
11793093,311,263
11793110,311,264
11793110,311,264
11793126,311,264
11793126,311,264
11793143,312,264
11793160,312,265
11793160,312,265
11793176,313,266
11793176,313,266
11793193.000000002,313,266
11793210.000000002,313,267
11793210.000000002,313,267
11793226,312,269
11793226,312,269
11793242,311,271
11793242,311,271
11793259,309,273
11793259,309,273
11793276,308,276
11793276,308,276
11793293,308,279
11793293,308,279
11793309.000000002,307,282
11793309.000000002,307,282
11793326,307,285
11793326,307,285
11793343,307,286
11793343,307,286
11793359,307,287
11793359,307,287
11793376,308,288
11793376,308,288
11793392,308,288
11793397,308,288
11793397,308,288
11793409,309,289
11793409,309,289
11793426,310,290
11793426,310,290
11793443.000000002,310,292
11793443.000000002,310,292
11793459,311,294
11793459,311,294
11793476,311,296
11793476,311,296
11793493,311,299
11793493,311,299
11793509,311,301
11793509,311,301
11793526,310,304
11793526,310,304
11793542,310,307
11793542,310,307
11793559.000000002,310,310
11793559.000000002,310,310
11793576,310,312
11793576,310,312
11793592,310,314
11793593,310,314
11793609,311,316
11793609,311,316
11793626,312,316
11793626,312,316
11793642,313,316
11793642,313,316
11793659,315,316
11793659,315,316
11793676,317,316
11793676,317,316
11793692,317,315
11793692,317,315
11793709,318,316
11793709,318,316
11793726,319,317
11793726,319,317
11793742,319,318
11793742,319,318
11793759,319,320
11793759,319,320
11793776,320,322
11793776,320,322
11793793,320,325
11793793,320,325
11793809.000000002,321,328
11793809.000000002,321,328
11793826,321,330
11793826,321,330
11793843,323,331
11793843,323,331
11793859,325,333
11793860,325,333
11793876,326,333
11793876,326,333
11793892,328,333
11793892,328,333
11793909,330,332
11793909,330,332
11793926,332,332
11793926,332,332
11793943.000000002,334,331
11793943.000000002,334,331
11793959,335,331
11793959,335,331
11793976,337,331
11793976,337,331
11793993,338,332
11793993,338,332
11794009,339,334
11794009,339,334
11794026,339,335
11794026,339,335
11794043,339,337
11794043,339,337
11794059.000000002,340,339
11794059.000000002,340,339
11794076,342,341
11794076,342,341
11794093,343,342
11794093,343,342
11794109,344,342
11794110,345,343
11794110,345,343
11794126,347,343
11794126,347,343
11794142,350,343
11794142,350,343
11794159,352,342
11794159,352,342
11794176,355,340
11794176,355,340
11794192,358,339
11794193.000000002,358,339
11794209,360,339
