timestamp_ms,x,y
12317962,378,290
12317991,378,290
12318008,378,290
12318025,378,290
12318042,378,290
12318058,378,290
12318075,378,291
12318075,378,291
12318091,378,292
12318091,378,292
12318108,378,293
12318108,378,293
12318124,377,294
12318124,377,294
12318141,377,295
12318141,377,295
12318158,376,296
12318158,376,296
12318175.000000002,375,297
12318175.000000002,375,297
12318191,375,299
12318191,375,299
12318208,374,300
12318208,374,300
12318224,372,300
12318224,372,300
12318241,371,301
12318241,371,301
12318258,370,302
12318258,370,302
12318275,369,302
12318275,369,302
12318291.000000002,368,302
12318291.000000002,368,302
12318308,366,302
12318308,366,302
12318325,365,302
12318325,365,302
12318342,364,301
12318342,364,301
12318358,362,300
12318358,362,300
12318375,360,300
12318375,360,300
12318391,359,299
12318392,359,299
12318408,357,298
12318408,357,298
12318425.000000002,356,296
12318425.000000002,356,296
12318441,355,295
12318441,355,295
12318458,353,294
12318458,353,294
12318475,352,292
12318475,352,292
12318491,351,291
12318491,351,291
12318508,350,289
12318508,350,289
12318524,349,288
12318524,349,288
12318541.000000002,349,286
12318541.000000002,349,286
12318558,348,284
12318558,348,284
12318574,348,282
12318574,348,282
12318591,348,279
12318591,348,279
12318608,348,277
12318608,348,277
12318624,348,276
12318624,348,276
12318641,348,273
12318641,348,273
12318657.000000002,348,271
12318658,348,271
12318674,349,269
12318674,349,269
12318691,350,268
12318691,350,268
12318707,350,266
12318708,350,266
12318724,351,265
12318724,351,265
12318741,352,263
12318741,352,263
12318757,353,262
12318757,353,262
12318774,354,261
12318774,354,261
12318791.000000002,355,260
12318791.000000002,355,260
12318807,356,259
12318808,356,259
12318824,357,257
12318824,357,257
12318841,358,256
12318841,358,256
12318857,359,256
12318857,359,256
12318874,361,254
12318874,361,254
12318891,362,254
12318891,362,254
12318907.000000002,363,253
12318907.000000002,363,253
12318924,364,252
12318924,364,252
12318941,365,252
12318941,365,252
12318957,366,251
12318957,366,251
12318974,368,251
12318974,368,251
12318991,370,251
12318991,370,251
12319007,371,250
12319007,371,250
12319024,372,250
12319024,372,250
12319041.000000002,374,250
12319041.000000002,374,250
12319057,375,250
12319057,375,250
12319074,377,250
12319074,377,250
12319091,378,250
12319091,378,250
12319107,380,250
12319107,380,250
12319124,381,251
12319124,381,251
12319141,382,251
12319141,382,251
12319157.000000002,383,252
12319157.000000002,383,252
12319174,384,253
12319174,384,253
12319191,386,254
12319191,386,254
12319207,387,255
12319207,387,255
12319224,388,256
12319224,388,256
12319241,389,257
12319241,389,257
12319257,390,258
12319257,390,258
12319274,390,260
12319274,390,260
12319291.000000002,391,261
12319291.000000002,391,261
12319307,392,262
12319307,392,262
12319324,393,263
12319324,393,263
12319341,394,264
12319341,394,264
12319357,395,266
12319357,395,266
12319374,397,267
12319374,397,267
12319391,397,269
12319391,397,269
12319407.000000002,398,270
12319407.000000002,398,270
12319424,399,271
12319424,399,271
12319441,400,272
12319441,400,272
12319457,401,274
