x,y
9.094947017729283e-15,0.0
2.0000000000000093,-12.29695388274226
13.765480640738351,-18.0
27.170115826035676,-14.829884173964311
29.0,-1.226398031403969
26.703535399972072,12.592929200055842
18.214405703928765,23.595198098690425
5.98971483618218,29.000000000000018
-7.0636573393800814,24.96817133030998
-12.800485163219069,13.199514836780954
-12.000000000000018,-0.6650788345448609
-7.675338698513565,-13.649322602972928
2.30814198041056,-22.99999999999998
15.132959908153198,-27.999999999999996
29.019921521497537,-27.990039239251246
41.75766110369474,-22.62116944815263
49.0,-11.156518331119045
51.594626890996096,2.7838806729884005
53.00000000000002,16.917268998183953
51.0,30.954162662835433
44.4585057853104,43.541494214689614
33.161848337114606,51.946050554295105
19.819030299010993,56.59048485049453
5.716532387290372,57.99999999999999
-8.28093859071416,55.679765352321446
-20.87888734714667,49.74740843523554
-29.876019601845847,39.247960796308284
-36.61953021257124,26.760939574857566
-38.00000000000001,12.651584983255725
-34.07183037034268,-0.8563392593146273
-25.701912313030835,-12.298087686969147
-15.546834348081056,-22.453165651918972
-3.968247605672664,-30.03175239432732
8.691577009564933,-35.00000000000001
22.402744454680338,-36.99999999999999
36.6019157795002,-37.999999999999986
50.56501912682018,-36.0
63.213086424669946,-29.786913575330054
72.76266973304745,-19.474660533905077
80.1706031437717,-7.488190568684904
83.76340877500881,6.290226325026459
86.00000000000004,20.327898553820788
86.0,34.689347538808974
84.28993065809684,48.84027736761264
80.51565902587423,62.453022922377436
74.42824366626488,75.28702533494048
65.71991940915679,86.42012088626483
55.1605216911452,95.89298553923656
42.27287914337009,101.81808057108661
28.670900522950106,106.08227486926248
14.530741330950855,108.09385173380983
0.3580382201165412,110.00000000000001
-14.003308927960012,109.99917276801
-27.610295321396308,105.59313645240248
-39.42640793419469,97.57359206580529
-48.60497679034779,86.59253481447831
-54.537966046382934,73.65508488404268
-58.68893091339416,59.933207259817564
-60.0,45.745343463972056
-59.85057246237202,31.40228984948805
-56.832432943278654,17.497298829836
-50.80127181539186,4.602543630783684
-42.436399336155176,-6.563600663844804
-31.910072788329728,-15.179854423340533
-21.446151119049798,-24.5538488809502
-10.513804204602744,-33.24309789769863
1.9266485589053082,-39.92664855890531
15.521311385708994,-43.173770461903025
29.586404114324527,-45.00000000000002
43.947853099312745,-44.99999999999997
58.073234106801124,-44.0
71.65656888251131,-40.11447703916288
84.31145506422762,-33.792363290514906
95.28911528641999,-24.710884713580004
104.7018474765107,-13.947228785233984
112.15112811374885,-1.6977437725022173
118.15954978854153,11.319099577083044
120.85487799041073,25.274389952053724
123.0,39.423429999055315
124.00000000000001,53.66177335842598
125.0,67.90011671779666
124.0,82.13846007716735
121.93262750262342,96.26948998950625
117.3855029178708,109.42174562319379
109.94682136755944,121.57976794866089
100.58742109825087,132.41257890174913
89.96787703923376,142.03212296076626
78.89784273701302,151.10215726298696
67.76672772685085,158.45455453778357
62.11950041627993,145.25000832630155
56.472273105708965,132.0454621148195
50.82504579513804,118.8409159033375
45.17781848456714,105.63636969185544
39.53059117399622,92.43182348037347
33.88336386342528,79.22727726889143
28.23613655285437,66.02273105740942
22.588909242283417,52.81818484592739
16.94168193171246,39.61363863444537
11.294454621141572,26.409092422963358
5.647227310570624,13.204546211481375
