timestamp_ms,x,y
15033400,370,279
15033430,370,279
15033447,371,279
15033447,371,279
15033463,371,279
15033480,371,279
15033497.000000002,371,280
15033497.000000002,371,280
15033513,371,280
15033529,370,280
15033529,370,280
15033546,370,280
15033546,370,280
15033563,369,281
15033563,369,281
15033580,368,281
15033580,368,281
15033596,368,281
15033596,368,281
15033613.000000002,367,281
15033629,367,281
15033646,367,281
15033646,367,281
15033663,367,281
15033679,367,281
15033696,366,280
15033696,366,280
15033713,366,280
15033729.000000002,366,280
15033729.000000002,366,280
15033746.000000002,365,281
15033746.000000002,365,281
15033763,364,281
15033763,364,281
15033779,364,281
15033779,364,281
15033796,363,280
15033796,363,280
15033813,363,279
15033813,363,279
15033829,362,278
15033829,362,278
15033846,362,276
15033846,362,276
15033863.000000002,362,276
15033879,361,275
15033879,361,275
15033896,361,275
15033896,361,275
15033913,360,274
15033913,360,274
15033929,359,273
15033929,359,273
15033946,359,273
15033946,359,273
15033962,358,272
15033962,358,272
15033979.000000002,357,271
15033979.000000002,357,271
15033996.000000002,357,270
15033996.000000002,357,270
15034012,357,269
15034013,357,269
15034029,357,267
15034029,357,267
15034046,358,266
15034046,358,266
15034062,358,265
15034063,358,265
15034079,358,265
15034096,358,265
15034113.000000002,358,265
15034129,359,264
15034129,359,264
15034146,359,264
15034146,359,264
15034163,361,263
15034163,361,263
15034179,362,262
15034179,362,262
15034196,363,261
15034196,363,261
15034212,364,260
15034212,364,260
15034229.000000002,365,260
15034229.000000002,365,260
15034246.000000002,365,259
15034246.000000002,365,259
15034262,365,259
15034279,366,259
15034296,367,259
15034296,367,259
15034312,368,259
15034312,368,259
15034329,370,259
15034329,370,259
15034346,371,259
15034346,371,259
15034362.000000002,372,259
15034362.000000002,372,259
15034379,372,259
15034396,372,259
15034412,373,260
15034412,373,260
15034429,373,261
15034429,373,261
15034446,375,261
15034446,375,261
15034462,376,261
15034462,376,261
15034479.000000002,378,261
15034479.000000002,378,261
15034496.000000002,380,261
15034496.000000002,380,261
15034512,381,262
15034512,381,262
15034529,382,262
15034529,382,262
15034546,382,263
15034546,382,263
15034562,383,264
15034562,383,264
15034579,384,265
15034579,384,265
15034596,385,266
15034596,385,266
15034612.000000002,386,267
15034612.000000002,386,267
15034629,387,268
15034629,387,268
15034646,387,269
15034646,387,269
15034662,387,271
15034662,387,271
15034679,387,272
15034679,387,272
15034696,388,273
15034696,388,273
15034712,389,274
15034712,389,274
15034729.000000002,390,274
15034729.000000002,390,274
15034746.000000002,390,274
15034746.000000002,390,274
15034762,391,275
15034762,391,275
15034779,391,276
15034779,391,276
15034796,391,277
15034796,391,277
15034812,391,279
15034812,391,279
15034829,390,281
15034829,390,281
15034846,389,283
15034846,389,283
15034862.000000002,388,285
15034862.000000002,388,285
15034879,386,287
15034879,386,287
15034896,385,288
15034896,385,288
15034912,384,289
15034912,384,289
15034929,384,289
15034946,384,289
15034962,384,289
15034979.000000002,384,289
15034996.000000002,384,289
15035012,384,290
15035012,384,290
15035029,383,292
15035029,383,292
15035046,382,293
15035046,382,293
15035062,380,295
15035062,380,295
15035079,378,297
15035079,378,297
15035096,376,298
15035096,376,298
15035112.000000002,373,299
15035112.000000002,373,299
15035129,370,300
15035129,370,300
15035146,369,300
15035146,369,300
15035162,368,299
15035162,368,299
15035179,368,298
15035179,368,298
15035196,368,297
15035196,368,297
15035212,369,297
15035229.000000002,369,297
15035246.000000002,368,297
15035262,367,297
15035262,367,297
15035279,365,298
15035279,365,298
15035296,363,298
15035296,363,298
15035312,360,299
15035312,360,299
15035329,356,299
15035329,356,299
15035346,354,298
15035346,354,298
15035362.000000002,351,297
15035362.000000002,351,297
15035379,350,295
15035379,350,295
15035396,350,293
15035396,350,293
15035412,349,292
15035412,349,292
15035429,348,291
15035429,348,291
15035446,347,290
15035446,347,290
15035462,346,289
15035462,346,289
15035479.000000002,345,289
15035479.000000002,345,289
15035496.000000002,344,289
15035496.000000002,344,289
15035512,343,288
15035512,343,288
15035529,342,287
15035529,342,287
15035546,341,286
15035546,341,286
15035562,340,284
15035562,340,284
15035579,339,282
15035579,339,282
15035596,339,280
15035596,339,280
15035612.000000002,339,277
15035612.000000002,339,277
15035629,340,276
15035629,340,276
15035646,341,275
15035646,341,275
15035662,342,275
15035662,342,275
15035679,342,275
15035679,342,275
15035696,342,274
15035696,342,274
15035712,342,273
15035712,342,273
15035729.000000002,342,272
15035729.000000002,342,272
15035746.000000002,341,270
15035746.000000002,341,270
15035762,340,267
15035762,340,267
15035779,339,264
15035779,339,264
15035796,339,262
15035796,339,262
15035812,340,259
15035812,340,259
15035829,341,256
15035829,341,256
15035846,343,255
15035846,343,255
15035862.000000002,345,254
15035862.000000002,345,254
15035879,346,252
15035879,346,252
15035896,347,251
15035896,347,251
15035912,347,251
15035912,347,251
15035929,347,251
15035946,347,250
15035946,347,250
15035962,348,249
15035962,348,249
15035979.000000002,349,247
15035979.000000002,349,247
15035996.000000002,350,245
15035996.000000002,350,245
15036012,353,243
15036012,353,243
15036029,355,242
15036029,355,242
15036046,357,240
15036046,357,240
15036062,358,240
15036062,358,240
15036079,358,239
15036079,358,239
15036096,359,239
15036096,359,239
15036112.000000002,360,239
15036112.000000002,360,239
15036129,361,239
15036129,361,239
15036146,364,238
15036146,364,238
15036162,366,237
15036162,366,237
15036179,369,236
15036179,369,236
15036196,370,235
15036196,370,235
15036212,372,235
15036212,372,235
15036229.000000002,372,235
15036246.000000002,373,235
15036246.000000002,373,235
15036262,374,236
15036262,374,236
15036279,375,236
15036279,375,236
15036296,377,236
15036296,377,236
15036312,380,236
15036312,380,236
15036329,383,235
15036329,383,235
15036346,384,235
15036346,384,235
15036362.000000002,386,235
15036362.000000002,386,235
15036379,386,235
15036396,386,236
15036396,386,236
15036412,387,237
15036412,387,237
15036429,388,238
15036429,388,238
15036446,389,239
15036446,389,239
15036462,391,239
15036462,391,239
15036479.000000002,394,239
15036479.000000002,394,239
15036496.000000002,397,239
15036496.000000002,397,239
15036512,398,239
15036512,398,239
15036529,398,241
15036529,398,241
15036546,399,243
15036546,399,243
15036562,399,245
15036562,399,245
15036579,399,248
15036579,399,248
15036596,400,250
15036596,400,250
15036612.000000002,403,252
15036612.000000002,403,252
15036629,404,253
15036629,404,253
15036646,407,254
15036646,407,254
15036662,408,254
15036662,408,254
15036679,409,255
15036679,409,255
15036696,409,257
15036696,409,257
15036712,409,259
15036712,409,259
15036729.000000002,409,261
15036729.000000002,409,261
15036746.000000002,409,263
15036746.000000002,409,263
15036762,410,265
15036762,410,265
15036779,411,266
15036779,411,266
15036796,412,268
15036796,412,268
15036812,414,269
15036812,414,269
15036829,414,270
15036829,414,270
15036846,414,271
15036846,414,271
15036862.000000002,414,274
15036862.000000002,414,274
15036879,414,276
15036879,414,276
15036896,413,278
15036896,413,278
15036912,412,280
15036912,412,280
15036929,412,281
15036929,412,281
15036946,412,282
15036946,412,282
15036962,413,284
15036962,413,284
15036979.000000002,413,285
15036979.000000002,413,285
15036996.000000002,413,286
15036996.000000002,413,286
15037012,412,288
15037012,412,288
15037029,412,290
15037029,412,290
15037046,411,291
15037046,411,291
15037062,410,293
15037062,410,293
15037079,410,294
15037079,410,294
15037096,410,295
15037096,410,295
15037112.000000002,409,295
15037129,409,295
15037146,410,295
15037162,410,296
15037162,410,296
15037179,410,296
15037196,410,297
15037196,410,297
15037212,409,299
15037212,409,299
15037229.000000002,408,301
15037229.000000002,408,301
15037246.000000002,407,302
15037246.000000002,407,302
15037262,406,304
15037262,406,304
15037279,405,305
15037279,405,305
15037296,405,306
15037296,405,306
15037312,404,307
15037312,404,307
15037329,404,307
15037346,403,308
15037346,403,308
15037362.000000002,401,309
15037362.000000002,401,309
15037379,399,310
15037379,399,310
15037396,397,312
15037396,397,312
15037412,395,313
15037412,395,313
15037429,393,314
15037429,393,314
15037446,392,315
15037446,392,315
15037462,391,315
15037479.000000002,390,315
15037479.000000002,390,315
15037496.000000002,390,315
15037496.000000002,390,315
15037512,388,316
15037512,388,316
15037529,385,317
15037529,385,317
15037545,382,319
15037546,382,319
15037562,379,320
15037562,379,320
15037579,377,321
15037579,377,321
15037596,375,322
15037596,375,322
15037612.000000002,374,322
15037612.000000002,374,322
15037629,373,321
15037629,373,321
15037646,371,321
15037646,371,321
15037662,369,321
15037662,369,321
15037679,365,322
15037679,365,322
15037696,361,324
15037696,361,324
15037712,357,326
15037712,357,326
15037729.000000002,354,327
15037729.000000002,354,327
15037746.000000002,352,327
15037746.000000002,352,327
15037762,351,326
15037762,351,326
15037779,351,325
15037779,351,325
15037796,351,323
15037796,351,323
15037812,351,322
15037812,351,322
15037829,351,321
15037829,351,321
15037846,350,320
15037846,350,320
15037862.000000002,348,320
15037862.000000002,348,320
15037879,345,321
15037879,345,321
15037895,342,322
15037895,342,322
15037912,339,322
15037912,339,322
15037929,337,322
15037929,337,322
15037945,336,321
15037946,336,321
15037962,335,319
15037962,335,319
15037979.000000002,335,316
15037979.000000002,335,316
15037996.000000002,334,314
15037996.000000002,334,314
15038012,333,313
15038012,333,313
15038029,331,312
15038029,331,312
15038046,330,312
15038046,330,312
15038062,328,311
15038062,328,311
15038079,327,311
15038079,327,311
15038095.000000002,326,309
15038096,326,309
15038112.000000002,326,308
15038112.000000002,326,308
15038129,326,305
15038129,326,305
15038146,326,302
15038146,326,302
15038162,325,299
15038162,325,299
15038179,323,297
15038179,323,297
15038195,320,296
15038195,320,296
15038212,317,295
15038212,317,295
15038229.000000002,315,295
15038229.000000002,315,295
15038245,315,293
15038245,315,293
15038262,315,291
15038262,315,291
15038279,317,288
15038279,317,288
15038295,318,284
15038296,318,284
15038312,318,281
15038312,318,281
15038329,316,279
15038329,316,279
15038345.000000002,313,278
15038345.000000002,313,278
15038362.000000002,311,278
15038362.000000002,311,278
15038379,309,277
15038379,309,277
15038396,308,276
15038396,308,276
15038412,308,274
15038412,308,274
15038429,309,270
15038429,309,270
15038446,311,267
15038446,311,267
15038462,312,263
15038462,312,263
15038479.000000002,312,261
15038479.000000002,312,261
15038495,311,260
15038495,311,260
15038512,310,260
15038512,310,260
15038529,309,260
15038529,309,260
15038545,308,260
15038562,309,259
15038562,309,259
15038579,311,257
15038579,311,257
15038595.000000002,314,253
15038595.000000002,314,253
15038612.000000002,318,249
15038612.000000002,318,249
15038629,320,245
15038629,320,245
15038646,320,244
15038646,320,244
15038662,319,244
15038662,319,244
15038679,319,245
15038679,319,245
15038695,319,245
15038712,319,245
15038729.000000002,321,243
15038729.000000002,321,243
15038745,324,240
15038746.000000002,324,240
15038762,326,236
15038762,326,236
15038779,329,233
15038779,329,233
15038795,331,230
15038795,331,230
15038812,331,229
15038812,331,229
15038829,331,228
15038829,331,228
15038846,331,228
15038862.000000002,331,228
15038879,332,228
15038879,332,228
15038895,334,227
15038895,334,227
15038912,337,224
15038912,337,224
15038929,342,219
15038929,342,219
15038946,347,213
15038946,347,213
15038962,352,208
15038962,352,208
15038979.000000002,356,205
15038979.000000002,356,205
15038995,357,203
15038995,357,203
15039012,357,203
15039029,357,203
15039045,358,204
15039046,358,204
15039062,361,204
15039062,361,204
15039079,364,203
15039079,364,203
15039095.000000002,369,202
15039096,369,202
15039112.000000002,374,198
15039112.000000002,374,198
15039129,378,196
15039129,378,196
15039145,381,195
15039145,381,195
15039162,382,195
15039162,382,195
15039179,382,197
15039179,382,197
15039195,383,198
15039195,383,198
15039212,385,201
15039212,385,201
15039229.000000002,388,202
15039229.000000002,388,202
15039245,392,203
15039245,392,203
15039262,397,202
15039262,397,202
15039279,402,201
15039279,402,201
15039295,405,201
15039295,405,201
15039312,407,201
15039312,407,201
15039329,408,203
15039329,408,203
15039345.000000002,410,206
15039346,410,206
15039362.000000002,411,209
15039362.000000002,411,209
15039379,414,212
15039379,414,212
15039395,419,214
15039395,419,214
15039412,424,215
15039412,424,215
15039429,427,217
15039429,427,217
15039446,429,219
15039446,429,219
15039462,430,223
15039462,430,223
15039479.000000002,430,227
15039479.000000002,430,227
15039495,431,230
15039495,431,230
15039512,433,233
15039512,433,233
15039529,435,234
15039529,435,234
15039545,437,236
15039545,437,236
15039562,440,237
15039562,440,237
15039579,441,239
15039579,441,239
15039595.000000002,441,242
15039595.000000002,441,242
15039612.000000002,440,245
15039612.000000002,440,245
15039629,439,249
15039629,439,249
15039645,438,253
15039646,438,253
15039662,438,256
15039662,438,256
15039679,440,257
15039679,440,257
15039695,443,258
15039695,443,258
15039712,444,260
15039712,444,260
15039729.000000002,444,262
15039729.000000002,444,262
15039745,444,264
15039745,444,264
15039762,443,267
15039762,443,267
15039779,441,269
15039779,441,269
15039795,439,273
15039795,439,273
15039812,438,276
15039812,438,276
15039829,438,279
15039829,438,279
15039845.000000002,439,281
15039845.000000002,439,281
15039862.000000002,441,282
15039862.000000002,441,282
15039879,443,282
15039879,443,282
15039895,444,282
15039895,444,282
15039912,444,283
15039912,444,283
15039929,443,285
15039929,443,285
15039945,441,289
15039945,441,289
15039962,438,293
15039962,438,293
15039979.000000002,436,298
15039979.000000002,436,298
15039995,435,301
15039995,435,301
15040012,435,303
15040012,435,303
15040029,435,305
15040029,435,305
15040045,435,307
15040045,435,307
15040062,435,308
15040062,435,308
15040079,434,310
15040079,434,310
15040095.000000002,431,313
15040095.000000002,431,313
15040112.000000002,429,316
15040112.000000002,429,316
15040129,424,320
15040129,424,320
15040145,420,324
15040145,420,324
15040162,416,327
15040162,416,327
15040179,414,329
15040179,414,329
15040196,413,330
15040196,413,330
15040212,413,330
15040212,413,330
15040229.000000002,412,330
15040229.000000002,412,330
15040245,410,330
15040245,410,330
15040262,408,332
15040262,408,332
15040279,403,335
15040279,403,335
15040295,398,339
15040295,398,339
15040312,391,344
15040312,391,344
15040329,387,348
15040329,387,348
15040345.000000002,383,350
15040345.000000002,383,350
15040362.000000002,379,351
15040362.000000002,379,351
15040379,377,352
15040379,377,352
15040395,374,352
15040395,374,352
15040412,372,352
15040412,372,352
15040429,369,352
15040429,369,352
15040445,365,352
15040445,365,352
15040462,360,354
15040462,360,354
15040479.000000002,355,355
15040479.000000002,355,355
15040495,350,356
15040495,350,356
15040512,346,356
15040512,346,356
15040529,344,356
15040529,344,356
15040545,341,355
15040545,341,355
15040562,339,353
15040562,339,353
15040579,337,352
15040579,337,352
15040595.000000002,333,351
15040595.000000002,333,351
15040612.000000002,330,350
15040612.000000002,330,350
15040629,326,350
15040629,326,350
15040645,322,350
15040645,322,350
15040662,318,349
15040662,318,349
15040679,316,347
15040679,316,347
15040695,314,344
15040695,314,344
15040712,313,340
15040712,313,340
15040729.000000002,312,338
15040729.000000002,312,338
15040745,311,336
15040745,311,336
15040762,307,335
15040762,307,335
15040779,304,335
15040779,304,335
15040795,301,334
15040795,301,334
15040812,298,333
15040812,298,333
15040829,297,331
15040829,297,331
15040845.000000002,297,329
15040845.000000002,297,329
15040862.000000002,297,325
15040862.000000002,297,325
15040879,297,321
15040879,297,321
15040895,297,317
15040895,297,317
15040912,296,315
15040912,296,315
15040929,293,314
15040929,293,314
15040945,290,314
15040945,290,314
15040962,288,314
15040962,288,314
15040979.000000002,286,314
15040979.000000002,286,314
15040995,284,312
15040995,284,312
15041012,284,310
15041012,284,310
15041029,284,307
15041029,284,307
15041045,285,302
15041045,285,302
15041062,285,297
15041062,285,297
15041079,285,293
15041079,285,293
15041095.000000002,285,289
15041095.000000002,285,289
15041112.000000002,283,287
15041112.000000002,283,287
15041129,281,284
15041129,281,284
15041145,280,282
15041145,280,282
15041162,279,280
15041162,279,280
15041179,279,276
15041179,279,276
15041195,279,272
15041195,279,272
15041212,280,267
15041212,280,267
15041229.000000002,280,262
15041229.000000002,280,262
15041245,280,258
15041245,280,258
15041262,280,254
15041262,280,254
15041279,280,251
15041279,280,251
15041295,279,248
15041295,279,248
15041312,279,245
15041312,279,245
15041329,280,242
15041329,280,242
15041345.000000002,281,238
15041345.000000002,281,238
15041362.000000002,282,235
15041362.000000002,282,235
15041379,284,233
15041379,284,233
15041395,285,232
15041395,285,232
15041412,285,231
15041412,285,231
15041429,286,230
15041429,286,230
15041445,287,229
15041445,287,229
15041462,288,227
15041462,288,227
15041479.000000002,290,225
15041479.000000002,290,225
15041495,292,222
15041495,292,222
15041512,295,219
15041512,295,219
15041529,297,217
15041529,297,217
15041545,298,216
15041545,298,216
15041562,299,215
15041562,299,215
15041579,300,214
15041579,300,214
15041595.000000002,302,213
15041595.000000002,302,213
15041612.000000002,304,211
15041612.000000002,304,211
15041629,308,209
15041629,308,209
15041645,311,206
15041645,311,206
15041662,315,203
15041662,315,203
15041679,318,201
15041679,318,201
15041695,319,201
15041695,319,201
15041712,320,201
15041729.000000002,321,202
15041729.000000002,321,202
15041745,322,202
15041745,322,202
15041762,324,202
15041762,324,202
15041779,328,200
15041779,328,200
15041795,332,197
15041795,332,197
15041812,335,194
15041812,335,194
15041829,338,193
15041829,338,193
15041845.000000002,339,192
15041845.000000002,339,192
15041862.000000002,341,192
15041862.000000002,341,192
15041879,342,193
15041879,342,193
15041895,344,193
15041895,344,193
15041912,345,193
15041912,345,193
15041929,349,192
15041929,349,192
15041945,352,190
15041945,352,190
15041962,357,187
15041962,357,187
15041979.000000002,360,185
15041979.000000002,360,185
15041995,363,183
15041995,363,183
15042012,363,183
15042012,363,183
15042028,364,184
15042029,364,184
15042045,364,185
15042045,364,185
15042062,364,185
15042062,364,185
15042079,366,185
15042079,366,185
15042095.000000002,369,184
15042095.000000002,369,184
15042112.000000002,372,182
15042112.000000002,372,182
15042129,376,179
15042129,376,179
15042145,380,177
15042145,380,177
15042162,382,176
15042162,382,176
15042179,383,176
15042179,383,176
15042195,383,177
15042195,383,177
15042212,384,178
15042212,384,178
15042229.000000002,385,178
15042229.000000002,385,178
15042245,387,178
15042245,387,178
15042262,390,177
15042262,390,177
15042279,393,176
15042279,393,176
15042295,397,174
15042295,397,174
15042312,401,171
15042312,401,171
15042329,404,169
15042329,404,169
15042345.000000002,407,169
15042345.000000002,407,169
15042362.000000002,408,169
15042362.000000002,408,169
15042379,408,170
15042379,408,170
15042395,409,172
15042395,409,172
15042412,410,173
15042412,410,173
15042429,411,174
15042429,411,174
15042445,414,175
15042445,414,175
15042462,418,175
15042462,418,175
15042479.000000002,423,174
15042479.000000002,423,174
15042495,428,174
15042495,428,174
15042512,430,173
15042512,430,173
15042529,431,175
15042529,431,175
15042545,432,178
15042545,432,178
15042562,432,181
15042562,432,181
15042579,432,184
15042579,432,184
15042595.000000002,433,186
15042595.000000002,433,186
15042612.000000002,434,187
15042612.000000002,434,187
15042628,437,188
15042628,437,188
15042645,440,188
15042645,440,188
15042662,443,188
15042662,443,188
15042679,445,189
15042679,445,189
15042695,447,190
15042695,447,190
15042712,447,193
15042712,447,193
15042728.000000002,447,196
15042729.000000002,447,196
15042745,446,200
15042745,446,200
15042762,446,203
15042762,446,203
15042779,446,207
15042779,446,207
15042795,447,210
15042795,447,210
15042812,449,211
15042812,449,211
15042829,451,212
15042829,451,212
15042845.000000002,454,212
15042845.000000002,454,212
15042862.000000002,456,214
15042862.000000002,456,214
15042878,456,215
15042878,456,215
15042895,456,218
15042895,456,218
15042912,456,221
15042912,456,221
15042929,456,224
15042929,456,224
15042945,455,227
15042945,455,227
15042962,455,230
15042962,455,230
15042979.000000002,456,233
15042979.000000002,456,233
15042995,458,235
15042995,458,235
15043012,460,237
15043012,460,237
15043029,462,238
15043029,462,238
15043045,464,240
15043045,464,240
15043062,464,242
15043062,464,242
15043078,464,244
15043079,464,244
15043095.000000002,462,248
15043095.000000002,462,248
15043112.000000002,461,252
15043112.000000002,461,252
15043129,459,256
15043129,459,256
15043145,458,260
15043145,458,260
15043162,458,262
15043162,458,262
15043179,459,264
15043179,459,264
15043195,461,265
15043195,461,265
15043212,462,266
15043212,462,266
15043228.000000002,464,267
15043228.000000002,464,267
15043245,464,268
15043245,464,268
15043262,464,270
15043262,464,270
15043278,464,273
15043278,464,273
15043295,462,276
15043295,462,276
15043312,462,280
15043312,462,280
15043328,462,284
15043328,462,284
15043345.000000002,462,287
15043345.000000002,462,287
15043362.000000002,463,289
15043362.000000002,463,289
15043378,465,290
15043378,465,290
15043395,466,292
15043395,466,292
15043412,467,293
15043412,467,293
15043428,468,295
15043429,468,295
15043445,467,298
15043445,467,298
15043462,466,302
15043462,466,302
15043478.000000002,464,306
15043479.000000002,464,306
15043495,462,310
15043495,462,310
15043512,461,315
15043512,461,315
15043529,459,318
15043529,459,318
15043545,459,321
15043545,459,321
15043562,460,322
15043562,460,322
15043578,461,324
15043578,461,324
15043595.000000002,462,324
15043595.000000002,462,324
15043612.000000002,462,325
15043612.000000002,462,325
15043628,462,326
15043628,462,326
15043645,461,328
15043645,461,328
15043662,459,331
15043662,459,331
15043678,456,335
15043678,456,335
15043695,452,339
15043695,452,339
15043712,449,343
15043712,449,343
15043728.000000002,447,346
15043729.000000002,447,346
15043745,446,348
15043745,446,348
15043762,445,348
15043778,445,349
15043778,445,349
15043795,445,349
15043812,445,349
15043812,445,349
15043828,443,351
15043828,443,351
15043845.000000002,440,354
15043845.000000002,440,354
15043862.000000002,435,358
15043862.000000002,435,358
15043878,427,364
15043879,427,364
15043895,419,371
15043895,419,371
15043912,413,375
15043912,413,375
15043929,410,377
15043929,410,377
15043945,409,377
15043945,409,377
15043962,409,375
15043962,409,375
15043978.000000002,410,373
15043979.000000002,410,373
15043995,410,371
15043995,410,371
15044012,410,370
15044012,410,370
15044028,409,370
15044028,409,370
15044045,406,371
15044045,406,371
15044062,402,373
15044062,402,373
15044078,396,377
15044078,396,377
15044095.000000002,390,380
15044095.000000002,390,380
15044112.000000002,387,381
15044112.000000002,387,381
15044128,385,381
15044129,385,381
15044145,384,381
15044145,384,381
15044162,383,379
15044162,383,379
15044178,383,377
15044179,383,377
15044195,381,376
15044195,381,376
15044212,379,376
15044212,379,376
15044228.000000002,375,377
15044229.000000002,375,377
15044245,370,378
15044245,370,378
15044262,365,381
15044262,365,381
15044278,361,382
15044279,361,382
15044295,357,382
15044295,357,382
15044312,355,382
15044312,355,382
15044328,354,381
15044328,354,381
15044345.000000002,353,379
15044345.000000002,353,379
15044362.000000002,352,377
15044362.000000002,352,377
15044378,350,375
15044378,350,375
15044395,349,375
15044395,349,375
15044412,346,375
15044412,346,375
15044428,342,377
15044428,342,377
15044445,338,380
15044445,338,380
15044462,334,381
15044462,334,381
15044478.000000002,331,382
15044478.000000002,331,382
15044495,329,381
15044495,329,381
15044512,328,380
15044512,328,380
15044528,328,378
15044528,328,378
15044545,328,375
15044545,328,375
15044562,329,373
15044562,329,373
15044578,329,372
15044578,329,372
15044595.000000002,327,372
15044595.000000002,327,372
15044612.000000002,324,374
15044612.000000002,324,374
15044628,321,375
15044628,321,375
15044645,317,376
15044645,317,376
15044662,313,377
15044662,313,377
15044678,309,377
15044678,309,377
15044695,305,377
15044695,305,377
15044712,302,375
15044712,302,375
15044728.000000002,299,373
15044728.000000002,299,373
15044745,296,371
15044745,296,371
15044762,293,368
15044762,293,368
15044778,291,364
15044778,291,364
15044795,288,362
15044795,288,362
15044812,286,361
15044812,286,361
15044828,283,359
15044828,283,359
15044845.000000002,279,358
15044845.000000002,279,358
15044862.000000002,276,357
15044862.000000002,276,357
15044878,274,355
15044878,274,355
15044895,274,353
15044895,274,353
15044912,274,350
15044912,274,350
15044928,273,348
15044928,273,348
15044945,273,346
15044945,273,346
15044962,272,344
15044962,272,344
15044978.000000002,271,343
15044978.000000002,271,343
15044995,269,342
15044995,269,342
15045012,268,341
