r,theta
4.735587133173888e-15,-2.2655346029916
1.0333210216118942,-2.886950369016758
1.8199396894252047,-2.1525246047471764
2.8971287421604894,-1.8936704824747241
3.2595776114616215,-1.516688866745905
3.6224217473208555,-1.1685775907893268
4.023267283286797,-0.8755242341283692
4.0681263690621945,-0.6117394587303863
3.5030743240843982,-0.31257419257924063
3.3383564954523988,0.054864535981154816
3.632408879398628,0.4086334638383271
3.8528684936340696,0.7201859357155047
4.125726562971503,1.0259445707583332
3.966939495320432,1.3218591410495446
3.896096108054403,1.6273628442069226
3.6074792694607427,1.9402113926385478
3.2201538407257266,2.2904640751492376
2.832365059348648,2.6808906764733793
2.6668299056770386,3.1305281602567865
2.9369960743994206,3.574005695194274
3.356198537530869,3.9436477263320238
3.8985244480531294,4.243733163600856
4.65339978754834,4.460401930169041
5.001089246672313,4.691517478608253
5.718182696141008,4.878516262702016
6.363775292889604,5.052143327660753
6.887055877428516,5.2255448249196546
7.585652057996616,5.370797587570091
8.015400636070352,5.517286522273689
8.281565907476908,5.666705568629757
8.42520977425062,5.811552014406273
8.578781496945348,5.957677935643398
8.81497968409588,6.099487156815631
8.8805175018586,6.2400132332269385
9.040643313259672,6.378043035282305
9.430977710946818,6.504376797688835
9.898946387162825,6.622865444776303
10.387051390451097,6.7375167100188245
10.645434145632853,6.854269524246813
10.936351210289281,6.967676911625958
11.337260040287958,7.074758387864164
11.621879423955312,7.180315548196458
11.651584505773831,7.288215033429401
11.922625882365772,7.39214799658343
11.812761064235154,7.497989510520829
11.836820341472468,7.604601182936537
11.99399780880494,7.709595894741735
12.009865228979821,7.81344672064059
11.964566087556845,7.917180738461049
11.385467492685878,8.013124163027658
10.948574231365493,8.118918134175404
10.54140819741004,8.228440219270318
9.873041918761446,8.329318192178903
9.124679258512488,8.435804469139443
8.342293347833804,8.54758563014355
7.417087842640132,8.656430802397928
6.603726344671095,8.794094775885458
5.9482675638290665,8.966057038076922
5.5073812463124385,9.172704420692991
5.055434831108963,9.393357369666965
4.76908007121255,9.638753126151945
4.621933142383455,9.906150063482254
4.71720734026509,10.173558783512767
5.059756579757736,10.419083867693011
5.462092317619926,10.646763668731408
5.94203422148344,10.844153841853796
6.862794897304849,10.97537634429549
7.61131382664826,11.113061605882367
8.600651687444246,11.208113740830672
9.440687290231565,11.31242485868487
10.176873251271141,11.40559623559938
10.741629405482117,11.513407799822318
11.648069206714206,11.587452344605884
12.395417612529691,11.67193154306884
12.924601780173846,11.759483970017374
13.826395088851173,11.825355265932684
14.255810898117382,11.907341596964413
14.468767321661842,11.993859289745657
14.497328540446803,12.080214591631586
14.591485527842735,12.166056129558807
14.78663206290117,12.248572400239667
14.749529425269861,12.328247547456137
14.754311869702377,12.412665062629237
14.94252549390712,12.496573857374017
15.277022640575987,12.576963831019865
15.725477863154659,12.652883046730299
15.884075201477067,12.732012028364078
16.139817588607556,12.809105531410266
16.4881852969515,12.883369104288422
16.9234592440619,12.954187997494028
17.439133206383165,13.021139221073033
17.74591198771415,13.090627816608876
17.892140283924885,13.16074563735433
18.288751508258777,13.226535960064185
18.670560566876993,13.29114661847181
19.034912209504572,13.355155306706424
19.369741996846496,13.417756767124262
19.618588734128362,13.48082486908505
19.696608261982703,13.542707556526977
19.725226931426935,13.605861782643155
19.948841127495598,13.667387621867464
19.87615833914648,13.730584442700277
20.0989141656078,13.792466288285093
20.063613797366262,13.854826056110152
20.05611856080438,13.91766186285879
20.127688904739003,13.980297373734535
20.24124976189881,14.042475483057624
20.344422102977028,14.104148715769316
20.341853071234194,14.166110239249926
20.41722649737214,14.227850536692483
20.061647543767513,14.286873570538372
19.605137006453187,14.346003621633706
19.174421880885472,14.407101033613884
18.634397588510115,14.467114390523339
17.88661512028757,14.521703686451627
17.079306720259396,14.57708092506164
16.21292404978663,14.629716345055872
15.114196086887802,14.669157010345184
14.042635659568132,14.714697162298997
13.004960014840092,14.767629759797105
12.009955433453513,14.82953180656277
11.069135008898597,14.902277294178905
10.197506851316371,14.987981500059975
9.199687780782112,15.067210288872094
8.214435377687284,15.157263181282357
7.551483855107325,15.291710780553773
6.913799862503175,15.439784523949523
6.429567157682247,15.613822707943978
6.0526837209979645,15.806795186273204
5.484149697908241,15.997369305291226
5.523863965418812,16.22620392710205
5.615274901415387,16.45206295863288
6.182935655877908,16.64202133436607
6.914167532757126,16.796135329285523
7.388536180647129,16.959678579059712
8.03441951357816,17.100254733767596
8.814193255955681,17.217977304884872
9.690925468049832,17.31588578945968
10.490512774017716,17.412330993160193
11.467220795623232,17.484188135645994
12.356894324403987,17.55892477789932
13.140657949362705,17.636175881434475
13.979648971021,17.705457920191225
14.98026016223754,17.75841262801642
15.91802823342893,17.812856970946946
16.81579235781429,17.865859435479283
17.545332371263182,17.925697805559505
18.507811960431237,17.969592123826256
19.370371262159257,18.017321596987234
19.998299911242725,18.07284810470001
20.902502759335082,18.1156484907364
21.690205960190784,18.15998302347185
22.12130531847467,18.21396893602145
22.389036534296835,18.269140629160347
22.602043430593216,18.32412779531533
22.65926339190059,18.37966779862211
22.66777456388698,18.435254436562076
22.660224836037106,18.490868301379226
22.722681429928965,18.54634764318058
22.77870681486591,18.60149052483391
22.749721397395707,18.65684585373657
23.013967695358918,18.710689562765857
23.083811481200758,18.764315716626136
23.01080217347958,18.81891359873947
23.13212488979741,18.873177543376656
23.37285495112447,18.92638692521482
23.532112925110415,18.979625765933644
23.728505963857312,19.03231451367749
23.989587900570722,19.083997596895042
24.313274888573563,19.134436560016546
24.68218778160565,19.183584550078884
24.924997182529168,19.233449286347536
25.210187996520066,19.282419928549615
25.522100560279924,19.3305465731905
25.805350139869265,19.378403468456682
26.13627284290969,19.425225875653055
26.480970572288523,19.471308542695727
26.973611629279016,19.514558971867533
27.59984017755608,19.554645988388547
28.04903024664105,19.59687808134189
28.47785282225739,19.63877171479934
28.9056282768602,19.68009337021157
29.276497964524996,19.721429246378555
29.654163205096236,19.762239365346996
29.97707057566947,19.80306209351344
30.32405089584374,19.843250015776736
30.63816150126824,19.88326119674193
30.971997427534202,19.92271478446657
31.143042491670595,19.962830101784604
31.331947617312554,20.002722647579404
31.57007227036027,20.04207530976077
31.838614755035433,20.08084426754115
31.84117984887125,20.120428957489093
31.960976602973805,20.15966480569235
32.23865517471996,20.19796435903792
32.50105522694922,20.236015039973616
32.68339511066119,20.27386083847206
32.52333960217508,20.31220560182375
32.41153494672789,20.350872151548966
32.22173986065471,20.388864597295246
31.7380887916422,20.425259092189894
31.020860458131278,20.458016173667726
30.271081871795662,20.491034135523616
29.460463617807704,20.52334994241449
28.593918966505058,20.554745476417835
27.680223302960574,20.585524130408178
26.733348592372153,20.616100442817796
25.711977111929446,20.644091192908398
24.70943111549329,20.674324592909148
23.774410015170997,20.709190999654126
22.781698016015667,20.742190441019197
21.753278937079738,20.774915864989005
20.73339418177479,20.809767942930094
19.732458578207858,20.847631507227746
18.821672512362017,20.8926187612706
17.997425507331673,20.944033614604447
16.91875849246858,20.981370098454843
16.027332653282897,21.035478626346457
15.188254370968155,21.0957592118334
14.353517639762638,21.1592455255743
13.448701468252994,21.22239914116135
12.60509220653059,21.294326871250647
11.721110350665631,21.366430914602187
10.723899125025559,21.435182745649037
9.751100275356373,21.513490928980538
8.890663176470522,21.61177552906303
8.271144181990318,21.739848219927154
7.807460294284605,21.885808997390278
7.6787003521812425,22.047140732333332
7.715874469977798,22.208582438475705
7.613512673518613,22.372655149696104
7.718361706277904,22.53667450924006
7.8813448951398195,22.695690323938287
8.081185822053817,22.85151205253024
8.646642795682686,22.986355390342844
9.019013722180455,23.122297068686283
9.689676066063724,23.236016717752797
10.462142625778496,23.334929767675995
11.315427637938408,23.42019976454608
12.239201474869349,23.493065231891684
13.21869428730399,23.555424542167582
14.031783652888636,23.625651609011985
14.948693239317981,23.685046867999702
15.889910401270278,23.738842057280063
16.809876173674215,23.791510625062482
17.810316335562163,23.835644323514373
18.905452586076745,23.869168636649007
19.729514953789014,23.91854694536841
20.723309694912935,23.95604872765867
21.72271434093922,23.990608151150372
22.530472113863414,24.034340125523368
23.349691267586888,24.075877252675983
24.00811700025949,24.121167511500023
24.93120976085726,24.15624112797395
25.882763264136134,24.188773488082568
26.668440320684724,24.226084155068282
27.463198447151246,24.262228185248564
28.291792176584263,24.29629748356431
