r,theta
0.0,0.0
2.9839587451905905,-2.305342674340599
6.09734806352316,-1.7355463322812974
9.311579046467152,-1.8988271880608854
11.9965229287157,-1.823551419006452
15.994168368572126,-1.7969765286611015
19.85578067127403,-1.825352424189738
22.219672607248828,-1.706225423084496
26.252246307391463,-1.6774134661776672
28.004971557543822,-1.5359410436545233
29.43890142803169,-1.3979027946695444
29.472905061084855,-1.2638798728321965
29.822868039850576,-1.1321926281258337
31.84209729636489,-1.0120758766133913
32.727944090224,-0.9133486076955442
29.504560218752218,-0.825946631817878
29.598071371325087,-0.6970175448954788
32.35469579853193,-0.6033111483746396
30.113747063750754,-0.4977693610451059
27.105605675941938,-0.3967585266069221
26.332234657720566,-0.24851081835370467
28.51739918936259,-0.1182114980737316
29.49219326497514,0.016552697045912963
28.380344137780018,0.1373969517858597
25.631516537365467,0.25497311854377597
23.61004766227977,0.4047699251589677
23.020305653723533,0.5833653958349684
20.667313525351513,0.7169171037707294
16.984424131424337,0.7845823728419852
15.867455014667724,1.0319969265566251
16.302089539049486,1.2914681884728814
17.21483695343254,1.5364823440019002
19.06019237660511,1.74540269691758
20.422436181195177,1.9462282353032805
21.811620722208705,2.1323916010052106
22.879268474012065,2.314661492035249
24.226288543381642,2.4797413872442022
26.88938750269403,2.5939787908564305
30.56646084798126,2.6658279584564726
31.924614462849743,2.7819318956817556
30.817117360120687,2.9107981184618823
30.66402660734374,3.0449793504414435
32.6479454025853,3.1612472117229458
33.33410350110693,3.283294180383995
33.76134087009108,3.4060535803916303
34.09349984023313,3.526637778193088
33.94309054004075,3.650403519830446
33.62488209432444,3.774368269613609
35.39992750418972,3.8767946483245046
36.6421812790656,3.9881772778628912
38.52769316157224,4.0851269613283785
38.837096104841855,4.192455509505118
39.84559170657141,4.295516670015054
39.84688360485556,4.401111016970296
39.84512018625158,4.506061398879748
39.85544896832674,4.6105022291859985
40.98153940784239,4.711034845943517
43.363809790708224,4.7920865195934805
44.94612280867678,4.876483301633802
47.35343815601305,4.949400224160096
49.4618197001387,5.024806745824865
51.99308958052951,5.091202224243899
54.640208445768906,5.152674350841004
56.708475814226404,5.214439604142738
54.81059279400419,5.271685884500923
54.46616974708313,5.34769931661412
55.05649895508339,5.423772874513075
56.870370123857704,5.488718208562369
56.17898665043069,5.5568458280618716
